name,role_name,team_value,championships,value_rank,brand_value,sport_value,market_value,debt_to_value,operating_income,revenue,gate_receipts,revenue_per_fan,metro_area_pop,capacity,average_ticket_price,profile,gender,birthdate,mvp_index,reach_score,engagement_score,conversation_score,primary_role,role_name,status,delta_mvp_index,delta_reach_score,delta_engagement_score,delta_conversation_score,facebook_comment_rate,facebook_likes,facebook_post_like_rate,facebook_post_rate,facebook_share_rate,facebook_talking_about,google_plus_activities,google_plus_plus_ones,google_plus_replies,google_plus_shares,instagram_followers,instagram_following,instagram_photos,twitter_followers,twitter_following,twitter_mentions,twitter_mention_rate,twitter_retweet_rate,twitter_tweets,you_tube_interactions,you_tube_subscribers,you_tube_videos,you_tube_views
New York Yankees,Baseball (MLB),,,,,,,,,,,,,,,,null,null,0.889477161,9.271879973,8.517663254,6.497027566,72,Baseball (MLB),active,0.000533093,-0.000102557,0.010764422,0,3174,8505206,1160482,130,131882,206712,null,178555,19628,10266,1231925,46,3482,1593368,398,null,6542,69466,24857,null,null,null,null
Los Angeles Dodgers,Baseball (MLB),,,,,,,,,,,,,,,,null,null,0.851077337,8.618202267,8.40334448,6.692020456,72,Baseball (MLB),active,0.000330158,-1.75E-05,0.006620634,0,4675,2991134,1040443,245,72376,167135,null,113769,12527,4794,1116255,102,4481,906172,4125,null,8086,67410,46677,null,null,null,null
Boston Red Sox,Baseball (MLB),,,,,,,,,,,,,,,,null,null,0.844147605,8.896360353,7.986591738,6.497027566,72,Baseball (MLB),active,0.000820301,9.93E-07,0.016405023,0,3637,5124251,913999,167,109173,70653,null,66906,10451,3963,672544,24,3660,1216623,146,null,7637,40101,44088,null,null,null,null
San Francisco Giants,Baseball (MLB),,,,,,,,,,,,,,,,null,null,0.829879216,8.57152724,8.026057084,7.084674547,72,Baseball (MLB),active,0.001826954,0.000189645,0.036349436,0,4082,2993931,882053,185,64799,107440,null,133785,15475,7033,867613,26,3648,986307,245,null,8544,29265,58895,null,null,null,null
Chicago Cubs,Baseball (MLB),,,,,,,,,,,,,,,,null,null,0.828054924,8.258872596,8.302225881,8.444732509,72,Baseball (MLB),active,0.002196809,0.000510688,0.043425489,0,2093,2642801,831383,88,117180,168082,null,70418,7288,4405,513549,77,2145,792517,397,null,13665,59337,43903,null,null,null,null
Detroit Tigers,Baseball (MLB),,,,,,,,,,,,,,,,null,null,0.782331905,8.14385985,7.502778249,7.979623243,72,Baseball (MLB),active,0.000160839,0.000416543,0.002800239,0,3228,2345413,794553,137,100081,105406,null,71797,8743,4983,436297,51,2035,810464,599,null,3046,16663,25281,null,null,null,null
Toronto Blue Jays,Baseball (MLB),,,,,,,,,,,,,,,,null,null,0.779789663,8.29962608,7.29616717,7.44050202,72,Baseball (MLB),active,-0.001824171,0.000996047,-0.037479458,0,2574,1458536,360571,119,50697,53867,null,38916,5801,3112,646691,63,3603,1303190,763,null,9623,31230,37827,null,null,null,null
Atlanta Braves,Baseball (MLB),,,,,,,,,,,,,,,,null,null,0.776522949,8.092738666,7.437720315,6.121463384,72,Baseball (MLB),active,0.002191661,0.000494526,0.043338685,0,2915,2157702,521670,130,65304,92592,null,28872,3645,1777,534388,110,2795,743226,4427,null,7107,23474,31329,null,null,null,null
New York Mets,Baseball (MLB),,,,,,,,,,,,,,,,null,null,0.773466897,7.525437162,7.943900771,8.502698153,72,Baseball (MLB),active,-0.002220608,0.000400426,-0.044812594,0,3860,1401142,589396,192,57940,88719,null,150885,12564,8045,499858,113,3804,504665,1228,null,8232,39700,39351,null,null,null,null
Texas Rangers,Baseball (MLB),,,,,,,,,,,,,,,,null,null,0.766521608,7.96775204,7.362680115,6.1832547,72,Baseball (MLB),active,4.03E-06,0.000252368,-0.000171836,0,3435,2272504,566508,200,83618,73253,null,60042,8700,4132,327211,72,3791,693485,684,null,4207,23468,24923,null,null,null,null
